TITLE: Bill of Materials
DATE: 04/16/2021
DESIGN: pc053e_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,CASE,JEDEC_TYPE
CON3P-MTLW-103-07-L-S-250,J1,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON400P_40ABCDEFGHJK-SEAM-40-03.5-S-10-2-A-K-TR,P1,1,SEAM-40-03.5-S-10-2-A-K-TR,?,?,?,?,?,SAMTEC,?,SAMTEC_SEAM-40-035-S-10-2-A
CON4P-MTLW-104-07-L-S-250,J11,1,MTLW-104-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-104-07-L-S-250
DS90LV028A_SOIC,IC8,1,08.DS90LV028ATM,?,?,?,?,?,NATIONAL SEMICONDUCTOR,?,SOIC8S_127
DSC1123CI5-40.0000,QZ1,1,DSC1123CI5-40.0000,?,?,?,?,?,Micrel,3.2mmx2.5mm,OSCSC105P250X320X180-6N
INDUCTANCE_LQH32C_23-4.7UH,L2,1,LQH32CN4R7M23,?,?,?,?,?,MURATA,_,INDC3225X220N
INDUCTANCE_LQH32C_23-4.7UH,L1,1,LQH32CN4R7M23,?,?,?,?,?,MURATA,_,INDC3225X220N
LGL29K-G2J1-24,LD3,1,LGL29K-G2J1-24,?,?,?,?,?,OSRAM,?,LEDC1708X65N
LGL29K-G2J1-24,LD2,1,LGL29K-G2J1-24,?,?,?,?,?,OSRAM,?,LEDC1708X65N
LGL29K-G2J1-24,LD1,1,LGL29K-G2J1-24,?,?,?,?,?,OSRAM,?,LEDC1708X65N
NB7V52MMNG,IC3,1,NB7V52MMNG,?,?,?,?,?,ON SEMICONDUCTOR,QFN16,QFN50P300X300X100-17N-S185
PCA9306DCU,IC1,1,PCA9306DCU,?,?,?,?,?,TEXAS INSTRUMENTS,VSSOP/DCU,SOP50P310X90-8N
PCA9517DGKR,IC15,1,PCA9517DGKR,?,?,?,?,?,TEXAS INSTRUMENTS,MSOP8,SOP65P490X110-8N
PCOAX-U.FL-R-SMT-1(10),PX6,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
PCOAX-U.FL-R-SMT-1(10),PX5,1,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,_,HIROSE_U-FL-R-SMT-1_10
